"idCaptura";"CPUPercent";"CPUFreq";"RAMTotal";"RAMDisponivel";"RAMPercentual";"DISKTotal";"DISKDisponivel";"DISKPercentual";"REDERecebida";"REDEEnviada";"PROCESSODesativado";"PROCESSOAtivos";"PROCESSOTotal";"dtHora"
84;11.2;2419.0;16889782272.0;6618427392.0;60.8;61.2;92961173504.0;61.2;346510;167773;7;245;254;"2025-03-31 13:52:31"
85;19.0;2419.0;16889782272.0;6590820352.0;61.0;61.2;92961185792.0;61.2;346519;167781;7;247;254;"2025-03-31 13:52:34"
86;10.6;2419.0;16889782272.0;6587682816.0;61.0;61.2;92961120256.0;61.2;346560;167808;7;247;253;"2025-03-31 13:52:36"
87;11.7;2419.0;16889782272.0;6594490368.0;61.0;61.2;92961120256.0;61.2;346582;167821;7;246;253;"2025-03-31 13:52:38"
88;12.0;2419.0;16889782272.0;6594752512.0;61.0;61.2;92961120256.0;61.2;346589;167824;7;246;253;"2025-03-31 13:52:40"
89;11.6;2419.0;16889782272.0;6608252928.0;60.9;61.2;92961120256.0;61.2;346589;167824;7;246;253;"2025-03-31 13:52:42"
90;10.2;2419.0;16889782272.0;6605889536.0;60.9;61.2;92961120256.0;61.2;346593;167825;7;246;253;"2025-03-31 13:52:45"
91;10.6;2419.0;16889782272.0;6607511552.0;60.9;61.2;92961120256.0;61.2;346599;167828;7;246;253;"2025-03-31 13:52:47"
92;11.2;2419.0;16889782272.0;6615212032.0;60.8;61.2;92961185792.0;61.2;346606;167828;7;246;253;"2025-03-31 13:52:49"
93;10.9;2419.0;16889782272.0;6615179264.0;60.8;61.2;92961185792.0;61.2;346614;167831;7;246;263;"2025-03-31 13:52:51"
94;29.0;2419.0;16889782272.0;6556676096.0;61.2;61.2;92960727040.0;61.2;346643;167853;9;253;262;"2025-03-31 13:52:54"
95;22.5;2419.0;16889782272.0;6573539328.0;61.1;61.2;92961177600.0;61.2;346673;167870;9;251;260;"2025-03-31 13:52:56"
96;11.7;2419.0;16889782272.0;6576721920.0;61.1;61.2;92961177600.0;61.2;346683;167875;9;251;260;"2025-03-31 13:52:58"
97;11.1;2419.0;16889782272.0;6577430528.0;61.1;61.2;92961177600.0;61.2;346696;167876;9;251;260;"2025-03-31 13:53:00"
98;13.3;2419.0;16889782272.0;6582112256.0;61.0;61.2;92961177600.0;61.2;346704;167878;9;250;259;"2025-03-31 13:53:03"
99;11.4;2419.0;16889782272.0;6584102912.0;61.0;61.2;92961177600.0;61.2;346719;167885;9;246;255;"2025-03-31 13:53:05"
100;12.5;2419.0;16889782272.0;6598045696.0;60.9;61.2;92961185792.0;61.2;346735;167889;9;246;255;"2025-03-31 13:53:07"
101;15.8;2419.0;16889782272.0;6599278592.0;60.9;61.2;92961185792.0;61.2;346757;167895;9;246;255;"2025-03-31 13:53:09"
102;14.7;2419.0;16889782272.0;6604705792.0;60.9;61.2;92961185792.0;61.2;346770;167895;9;246;255;"2025-03-31 13:53:12"
103;13.1;2419.0;16889782272.0;6605340672.0;60.9;61.2;92961185792.0;61.2;346790;167902;9;246;255;"2025-03-31 13:53:14"
104;11.5;2419.0;16889782272.0;6609915904.0;60.9;61.2;92961185792.0;61.2;346817;167906;9;246;255;"2025-03-31 13:53:16"
105;13.4;2419.0;16889782272.0;6607794176.0;60.9;61.2;92961185792.0;61.2;346835;167910;9;246;255;"2025-03-31 13:53:18"
106;13.0;2419.0;16889782272.0;6603354112.0;60.9;61.2;92961120256.0;61.2;346869;167926;9;246;255;"2025-03-31 13:53:20"
107;13.3;2419.0;16889782272.0;6602874880.0;60.9;61.2;92961120256.0;61.2;346905;167948;9;246;255;"2025-03-31 13:53:23"
